"census_tract","Surge_threshold","Rain_threshold","alpha_d","alpha_a","alpha_p","alpha_r","mew_a","mew_p","U_rate","POT_S_max","POT_R_max"
"x_init67",36083052501,1.97604043816524,0.107470276686987,9.40519783467649,3.77631636692262,6.28931516275959,0.124210938807286,0.0939914118538541,1.49177228886953,2.02613081363718,1.32388567779565,0.0469032653255968
"x_init68",36085009700,2.65547882785224,0.15,10.6404106055901,2.96495797428716,0.00913447981914944,0.058640379985389,0.0482077582070312,0.0684645652776109,0.106115942662589,2.68416995603417,0.15
"x_init69",36085011201,2.16234463240097,0.149733423981187,9.15351362882306,6.0703203428696,1.56597916880624,0.614016828143623,0.0670934053630553,0.087056475829443,0.0608754266292988,1.23977485652477,0.109773921580849
"x_init70",36085011202,2.71474869061332,0.149713904455183,5.45098359944111,5.89134514592241,9.987197552686,0.317223951828641,0.001,0.0353325707278441,0.01,0.182064734288712,0.11032023826415
"x_init71",36085012804,2.54671281059629,0.15,7.32219790315732,5.37557880246792,4.66398384436122,0.873036498600778,0.0189438309785337,0.0929912632343383,0.01,0.75083255917028,0.15
"x_init72",36085012805,2.07951145715575,0.137097077562986,16.5308130603476,2.0176641000517,4.91272258291884,0.232823051547555,0.132396817571224,1.55953612484473,0.377952710471608,0.550407099645346,0.0402588422182033
"x_init73",36085015603,2.13962042180076,0.149880972177423,7.29112397564918,7.75006657034739,2.41200781179036,0.11248771125182,0.0318060942718899,0.184519805040172,0.0179054714959272,0.402377484259087,0.0986791770282755
"x_init74",36085017600,2.69407893571901,0.0753843396680369,7.95600317943178,3.40358527520747,9.99833914085136,0.00898220733745697,0.030375844231563,0.0975830160501142,0.963168675588595,0.0105763867138136,0.0448410075916128
"x_init75",36085019800,1.74600233729019,0.0748280469377259,9.88745600420738,24.8217925846406,10,0.001,0.0472124419187313,0.0406309929921402,0.454888773547618,0.126447256754864,0.03823667221899
"x_init76",36085020801,1.62206073492891,0.0432048267081116,18.4437479260338,25,3.42830724335604,0.001,0.086285728404028,0.535065314214233,0.365215447843849,0.329955125990066,0.15
"x_init77",36085022300,2.31745444940648,0.15,14.5429727746074,5.51515846219567,7.74565795596907,0.580027039632173,0.0759495561884485,0.001,0.402806542750334,1.93914524736423,0.15
"x_init78",36085022600,2.68078937150318,0.15,16.7518786908767,24.9995988584289,0.127247738049148,0.0517537499753202,0.0850615569528684,0.0212568608821189,0.219734989757671,2.98532563840201,0.15
"x_init79",36085024401,1.45333753651473,0.0419636811119662,12.9084319361813,17.3931867611275,5.85494017514224,0.00433503515681418,0.0678359458347158,0.895522443606606,0.621633359947553,3.5,0.149989661937447
"x_init80",36085024402,2.16470290062719,0.15,6.53805752480524,0.831576884663887,0.001,0.0775738949335466,0.0144835957755899,0.0691687598987379,0.0939250834886762,0.983302909451204,0.15
"x_init81",36085024800,2.62265043413771,0.15,13.0518256955158,5.46019200838418,0.0825658964755948,0.0581988371414529,0.0656894859956017,0.02930246824796,0.0494379430923217,2.61994774178008,0.15
"x_init82",36085029102,2.21614412816313,0.139102687770277,20.8941232228054,17.5798193997268,0.001,0.0212486106352995,0.157236275019838,0.0707283113993188,0.235446146297604,0.52128716247683,0.15
"x_init83",36087010101,1.64680898408039,0.0873412312239298,22.6364873219117,0.001,3.44120827826395,0.70340350315596,0.0757106158594615,1.49817498471637,1.83369225792349,2.79842263289371,0.0500121694212534
"x_init84",36087010200,2.00004297480526,0.15,19.6335448554215,9.43527012149571,0.500813669359546,0.0991343963432,0.144566449404578,0.277735627260393,0.297916228235694,1.30769523018171,0.149771141510998
"x_init85",36087010602,1.91189632614275,0.15,16.4733136496637,0.125815892798218,5.14937210308362,0.0883888649990102,0.0826122598859715,0.0110312742750396,0.27426767379048,0.001,0.15
"x_init86",36087010902,3.499929439845,0.0826894487210143,17.8424600007249,25,2.21902476581512,0.145374064779531,0.110315040241324,0.0101279980197459,0.427116114959281,0.0523403512741964,0.108553909173915
"x_init87",36087013100,2.05056369990467,0.15,19.4395166216092,2.82204519205018,4.50761486693385,0.0276793118413313,0.103771194561086,0.0171215335414534,0.0278673430237138,0.879707856418528,0.15
"x_init88",36087013300,1.87728222318024,0.115614155917333,15.8447008864931,14.0964192110901,10,0.168975457443819,0.130516145686245,0.25829079065347,0.443199073215936,3.40801810060442,0.15
